Intento,Tiempo(ns)
1,18568
2,5531
3,6321
4,4741
5,3950
6,78222
7,3160
8,3951
9,3161
10,20148
11,6716
12,16592
13,24099
14,9877
15,10271
16,7506
17,6716
18,6716
19,7111
20,5531
21,4346
22,16988
23,96790
24,790
25,55704
26,791
27,790
28,790
29,1185
30,790
31,2765
32,1580
33,1185
34,1185
35,1185
36,1580
37,1185
38,1185
39,790
40,1580
41,1185
42,2371
43,1185
44,1580
45,1580
46,1581
47,1976
48,7111
49,1581
50,2370
51,2766
52,790
53,1185
54,3160
55,1581
56,1186
57,1186
58,1581
59,790
60,1185
61,1185
62,790
63,1581
64,1581
65,790
66,1580
67,395
68,790
69,790
70,2765
71,1581
72,1581
73,17778
74,1185
75,1185
76,1185
77,1185
78,1185
79,1580
80,790
81,1580
82,1185
83,1185
84,1185
85,1975
86,1185
87,1185
88,1185
89,1185
90,1580
91,790
92,790
93,1185
94,790
95,790
96,790
97,2766
98,790
99,4740
100,1581
