Intento,Tiempo(ns)
1,225976
2,211358
3,225185
4,271802
5,319605
6,470518
7,277333
8,192395
9,160000
10,53729
11,130765
12,43456
13,35555
14,36741
15,141037
16,75852
17,138667
18,149333
19,103901
20,20939
21,28839
22,11061
23,24888
24,26074
25,7111
26,25679
27,24494
28,6716
29,5926
30,5136
31,10271
32,39111
33,39506
34,27654
35,29630
36,42666
37,12642
38,12642
39,11457
40,30815
41,8297
42,11062
43,16197
44,13827
45,6321
46,6321
47,6716
48,6716
49,6321
50,4345
51,10272
52,8692
53,6321
54,3951
55,26469
56,21333
57,6321
58,6321
59,7111
60,29234
61,21333
62,9482
63,3950
64,3555
65,3160
66,3160
67,3555
68,4346
69,9877
70,5926
71,4741
72,10666
73,19358
74,8296
75,21333
76,6321
77,4346
78,5926
79,3951
80,7111
81,6716
82,11851
83,4345
84,14223
85,14617
86,5531
87,8296
88,3950
89,3160
90,3161
91,2766
92,3950
93,5136
94,10272
95,7901
96,33975
97,15012
98,22124
99,11457
100,7111
