Intento,Tiempo,Memoria
1,130327756,87463904
2,114900194,176068600
3,160268310,96188648
4,66064224,226520304
5,188063679,220957184
6,67171582,630517000
7,65993903,740299256
8,195146744,626804832
9,132837978,735616448
10,64099581,627105856
11,76954895,661237776
12,66684471,623734464
13,68195582,629533776
14,61731975,619225800
15,70206053,550306568
16,67717953,637346016
17,59958147,506884728
18,70968917,629680352
19,62671827,444150504
20,63694643,403266584
21,70334447,612844560
22,75886252,334690160
23,69760817,623265024
24,83047144,314431920
25,73323881,248884432
26,57077751,226226456
27,65052075,625454216
28,67399138,167796848
29,68618694,152283904
30,64717458,108332104
31,70953509,630116328
32,62522889,68780296
33,67712027,50110792
34,62053556,7607312
35,67442199,17889512
36,61806642,40243640
37,69956374,68365248
38,71070053,406012496
39,75478154,134540352
40,64803581,160758336
41,68583928,238471720
42,64522298,219458056
43,67430742,139334640
44,67361211,263576584
45,70840127,335843928
46,57836270,23088224
47,73299782,176137744
48,58447826,333007872
49,65326248,621875200
50,59315381,303226752
51,67701360,257021920
52,64933952,618748760
53,70240818,210068968
54,75042795,174365632
55,63171186,142566744
56,61574740,629555000
57,66742545,112686912
58,63316568,74638608
59,69925954,40809120
60,72963190,11349744
61,68620669,14941952
62,72581165,48902984
63,72008719,78466832
64,62947185,93571336
65,69780965,371527440
66,68030446,169217040
67,63326840,173444224
68,59417702,202251088
69,66584125,240964928
70,64347285,107815184
71,67650792,44161968
72,68380077,6801904
73,72189658,171699584
74,67717953,108218784
75,63704124,8456384
76,59391628,25898960
77,71223337,58533848
78,64274988,57780200
79,58913999,40098528
80,70635090,1707608
81,72502547,26138120
82,59961308,47440016
83,73101856,87528304
84,66848027,101358920
85,66808520,350592808
86,64537705,164404384
87,65055235,194863792
88,69758842,197262000
89,63780371,239964800
90,70871336,90717112
91,73240128,38329528
92,69751337,56933856
93,70232127,178811040
94,72184522,213794760
95,68155682,148170216
96,73999042,269537056
97,68160817,58352368
98,67728619,70652176
99,74228177,86565424
100,65035482,289688976
