Intento,Tiempo
1,12715447
2,15465470
3,9869424
4,10671794
5,8884932
6,14543396
7,14820729
8,15118211
9,17651739
10,16944974
11,17431690
12,15768482
13,16938653
14,16272580
15,16839493
16,17564431
17,16900727
18,16564135
19,15019840
20,16732036
21,16510011
22,17731936
23,17464480
24,23457166
25,16018950
26,18505072
27,15678408
28,17419443
29,16202259
30,15852629
31,15987741
32,19420034
33,20610749
34,17630011
35,22426451
36,16221616
37,15779148
38,21011342
39,16032777
40,16014605
41,15563840
42,19395145
43,15684333
44,15802852
45,19271096
46,16594950
47,17511888
48,21061909
49,15117025
50,17375592
51,15669321
52,16449962
53,16023691
54,14699445
55,18091443
56,15643247
57,14763050
58,15192087
59,14925025
60,16658950
61,14874063
62,16789716
63,17264579
64,16159592
65,17905369
66,17523740
67,14216285
68,18318208
69,14560779
70,15686704
71,14792285
72,15565420
73,15091346
74,15933617
75,15550407
76,15518407
77,15508531
78,16425468
79,16291938
80,15446901
81,15118211
82,14808877
83,14632285
84,14335989
85,18189023
86,14556038
87,16910604
88,14301618
89,17001863
90,15913864
91,17161468
92,14913568
93,18191788
94,14216680
95,16673172
96,14317026
97,15474556
98,14865371
99,17016480
100,14626359
