Intento,Tiempo(ns),Memoria(bytes)
1,32623815,0
2,32650679,0
3,66015631,0
4,95071247,0
5,101603201,0
6,103957769,0
7,99331594,0
8,100020978,0
9,107761030,1331712
10,100918163,0
11,101860781,0
12,104480436,0
13,122730320,0
14,98702262,0
15,103828980,0
16,98717669,0
17,97278853,0
18,100391151,0
19,100660978,0
20,100621867,0
21,97096335,0
22,100304632,0
23,103055448,0
24,104043893,0
25,105581473,0
26,115139601,0
27,120685479,0
28,114447057,0
29,105475203,0
30,107076388,0
31,107608931,0
32,114279946,0
33,107845968,0
34,102270855,0
35,107259302,0
36,98442310,0
37,98889520,0
38,104729325,0
39,103028584,0
40,109349575,0
41,105605178,0
42,105332980,0
43,106057523,0
44,103628683,0
45,100954509,0
46,98308780,0
47,104235103,0
48,110105328,0
49,111725872,0
50,119128936,0
51,113300193,0
52,109563303,0
53,108036784,0
54,102845275,0
55,99640138,0
56,104898807,0
57,100758558,0
58,124971902,0
59,103791053,0
60,106025128,0
61,101043003,0
62,109746216,0
63,97192729,0
64,108059302,0
65,118411899,0
66,103458411,0
67,110059500,0
68,101090410,0
69,104801622,0
70,99088237,0
71,101767151,0
72,110619698,0
73,106822758,0
74,101775448,0
75,98166952,0
76,98592039,0
77,99279447,0
78,106518956,0
79,108663747,0
80,107945525,0
81,104247350,0
82,109777821,0
83,105812189,0
84,107696635,0
85,105964288,0
86,106848438,0
87,108700487,0
88,104745128,0
89,102300485,0
90,99779595,0
91,107366759,0
92,108564191,0
93,106539499,0
94,110456537,0
95,106668289,0
96,101037867,0
97,99006459,0
98,104203498,0
99,105312832,0
100,109413179,0
